"Id","Name","Overview","Backdrop Path","Poster Path"
"10","Star Wars Collection","An epic space-opera theatrical film series, which depicts the adventures of various characters ""a long time ago in a galaxy far, far away….""","/d8duYyyC9J5T825Hg7grmaabfxQ.jpg","/gq5Wi7i4SF3lo4HHkJasDV95xI9.jpg"
"119","The Lord of the Rings Collection","The Lord of the Rings trilogy consists of three epic fantasy films, based on the influential novels written by J. R. R. Tolkien, directed by Peter Jackson.","/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg","/oENY593nKRVL2PnxXsMtlh8izb4.jpg"
"230","The Godfather Collection","Francis Ford Coppola’s trilogy films about the everyday life of a New York mafia family. With its star-studded cast these films would go down in history as some of the greatest Hollywood has ever produced.","/3WZTxpgscsmoUk81TuECXdFOD0R.jpg","/zqV8MGXfpLZiFVObLxpAI7wWonJ.jpg"
"263","The Dark Knight Collection","A superhero film series based on the DC Comics character Batman. Centered on Bruce Wayne, a billionaire dedicating his life to fight crime in his home, Gotham City, as a masked vigilante known as Batman.","/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg","/hGvOMQBD88jAV0olS2DT1AxreHn.jpg"
"264","Back to the Future Collection","An American science fiction–comedy film series that follows the adventures of a high school student, Marty McFly and an eccentric scientist, Dr Emmett L. Brown as they use a DeLorean time machine to time travel to different periods in the history of Hill Valley, California.","/AqQotqj7XOI6GjB28nhMMa8YzOT.jpg","/5Xsu2o5IsZRuuxCEVZ9nVve21FP.jpg"
"295","Pirates of the Caribbean Collection","A series of fantasy swashbuckler films based on Walt Disney's theme park ride of the same name. The films follow the adventures of Captain Jack Sparrow and take place in a fictional historical setting; a world ruled by the British Empire, the East India Trading Company and the Spanish Empire, with pirates representing freedom from the ruling powers.","/wxgD3fB5lQ2sGJLog0rvXW049Pf.jpg","/zRBaZxS5YauLvRYjAdL4AUCwlht.jpg"
"304","Ocean's Collection","The Ocean's Collection is a star-studded film series about a group of professional robbers who get together to pull off some mind-boggling heists.","/7WUSrq8DqSkVgv1vmhBvav5bPoB.jpg","/oHUHccvraYF8lYp6BxRoujRtH8Q.jpg"
"328","Jurassic Park Collection","An American science fiction adventure film series based on the novel of the same name by Michael Crichton. The films center on the fictional Isla Nublar near Costa Rica in the Central American Pacific Coast, where a billionaire philanthropist and a small team of genetic scientists have created an amusement park of cloned dinosaurs.","/njFixYzIxX8jsn6KMSEtAzi4avi.jpg","/jcUXVtJ6s0NG0EaxllQCAUtqdr0.jpg"
"399","Predator Collection","A science fiction action film series centered on a warrior class extraterrestrial species with technologically advanced weaponry that travel to Earth to trophy hunt human beings.","/fXVzk9OxQwROCuiWvd0Cv76qmZi.jpg","/mm2t5dd1QFxtX6X56Z9U5ucsIb1.jpg"
"420","The Chronicles of Narnia Collection","Modern theatrical film productions based on the book series «The Chronicles of Narnia» by C. S. Lewis.","/ojjzZUQlqKTsN1T7s5OAVZSjYMH.jpg","/sh6Kn8VBfXotJ6qsvJkdfscxXKR.jpg"
"528","The Terminator Collection","A series of science-fiction films about the futuristic conflict between the humans led by John Connor and the Terminators that are made and controlled by Skynet, a self-aware super computer that started Armageddon and may indeed end humanity for good. Skynet's most well-known products in its genocidal goals are the various terminator models, such as the T-800 (Model 101).","/cpmbkwSxZnKO69V82A9a34tvk2E.jpg","/kpZxdNsAV7qTdTLwKM5NLqa7GEo.jpg"
"556","Spider-Man Collection","A superhero film series based on the Marvel Comics character Spider-Man. The series is centered on Peter Parker, an academically gifted but socially inept freelance photographer who gets bitten by a genetically modified spider and gains spider-like abilities, all of which he uses to fight crime as a spider-masked vigilante, learning for himself that with great power comes great responsibility.","/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg","/bp5PqLa06QA1LsELA1SsKZ008H7.jpg"
"645","James Bond Collection","The James Bond film series is a British series of spy films based on the fictional character of MI6 agent James Bond, codename ""007"". With all of the action, adventure, gadgetry & film scores that Bond is famous for.","/dOSECZImeyZldoq0ObieBE0lwie.jpg","/HORpg5CSkmeQlAolx3bKMrKgfi.jpg"
"656","Saw Collection","The extremely successful horror film series about a mysterious murderer who gives his victims macabre riddles they must solve to earn their freedom. After a surprise debut film success Saw would be made into a multimedia franchise, spawning 10 installments.","/oLfS1lOmN2KIU2IQ200SDEPVEZe.jpg","/xmC2A7qPEfiOkQC58fZh8srWQ5v.jpg"
"748","X-Men Collection","A superhero film series about a team of mutant superheroes based on the Marvel Comics superheroes of the same name.","/roZFGw3Rg6VOYty9y4r5WvgvXoC.jpg","/31rqs6ZxFdi5nWZZaFPIr17q8jt.jpg"
"1241","Harry Potter Collection","The Harry Potter films are a fantasy series based on the series of seven Harry Potter novels by British writer J. K. Rowling.","/4gV0rKUjB1nLUdZB4zIltLvNZZr.jpg","/eVPs2Y0LyvTLZn6AP5Z6O2rtiGB.jpg"
"1570","Die Hard Collection","An action film series centered around the character of John McClane, a New York City police detective who finds himself fighting a group of terrorists in each film.","/5kHVblr87FUScuab1PVSsK692IL.jpg","/fn3aXwADNC0nmJ51GYnkrOseVgB.jpg"
"1575","Rocky Collection","These sport drama films begin by telling the rags to riches American Dream story of Rocky Balboa, an uneducated but kind-hearted working class Italian-American boxer working as a debt collector for a loan shark in the slums of Philadelphia.","/JhGydj4q5y8MoWZFyj15yKNrzC.jpg","/fKe9y1AJHEzoiHwSrjfwyinuCE8.jpg"
"1733","The Mummy Collection","The Mummy film series is a remake of The Mummy, loosely based on the original 1932 film. The first two films in the series were written and directed by Stephen Sommers.","/1BeKi6IytbfQlQocJSvP2k6sO1a.jpg","/x5ZQsM90h4jmvDelgbCwPjcOn1s.jpg"
"2150","Shrek Collection","The fairytale story of a large, strong, solitude-loving, intimidating ogre named Shrek, and his friends.","/gMWrKQjoTIpYjhc8SxZF20EDIES.jpg","/qNHZMe92A7Pyl46qUH29hVOtbSK.jpg"
"2344","The Matrix Collection","The Matrix collection depicts a complex science fiction story incorporating many philosophical elements. Written and directed by the Wachowskis and produced by Joel Silver.","/bRm2DEgUiYciDw3myHuYFInD7la.jpg","/bV9qTVHTVf0gkW0j7p7M0ILD4pG.jpg"
"2467","Tomb Raider Collection","Tomb Raider is a series of action-adventure movies, centering around the exploits of Lara Croft, a fictional British archaeologist-adventurer.","/dY55rtfQMOMGHJXGDNfSEyuHPGG.jpg","/sgaP4WtVlKzz8FIcjbkevOycJiq.jpg"
"2806","American Pie Collection","American Pie is a series of sex comedy films. The first film in the series was released in 1999, by Universal Pictures, and became a worldwide pop culture phenomenon, cult following amongst young people. The second and third films were released at two-year intervals, whereas the fourth film was released in 2012. A spin-off film series titled American Pie Presents, which includes four direct-to-video films was released from 2005 to 2009. - Wikipedia","/eHl3g0eZ6sxMsXnjzfSkRcOBO1R.jpg","/cNqNmezA9iSeJcPdzMqjfXldV9F.jpg"
"2883","Kill Bill Collection","The Kill Bill Collection is a series of thrilling revenge dramas directed by Quentin Tarantino. Inspired by Hong Kong martial arts movies, Japanese samurai films, and Italian spaghetti westerns, these movies are characterized by their stylized violence, pop culture references, and extensive use of popular music. Featuring Uma Thurman in the iconic role of The Bride, the Kill Bill films have become cult classics that continue to captivate audiences worldwide.","/oCLKNACMNrEf4T1EP6BpMXDl5m1.jpg","/tf1nUtw3LJGUGv1EFFi23iz6ngr.jpg"
"3167","Ace Ventura Collection","A comedy film series featuring Ace Ventura, an eccentric Miami-based private detective who specializes in retrieval of tame and captive animals.","/pbs1VKy9J3MZ8qJI89WdDUNi7wM.jpg","/qCxH543pScFed1CycwJ1nVgrkOc.jpg"
"5039","Rambo Collection","A series of action films that follows John Rambo, a US Army veteran, who is traumatized by his experience in the Vietnam War, and uses the skills he gained there to fight corrupt police officers, enemy troops and drug cartels.","/9vlISRco1XbV7xa038IpLcDtBSV.jpg","/feGOEOVrOLyjtEnVa88rQLgD3XY.jpg"
"8354","Ice Age Collection","The Ice Age Movie Collection Release into theaters by Twentieth Century Fox Animation and Blue Sky Studios.","/vrNxDKVRbsTUUvSdZPDvtGNQL5X.jpg","/stQoHvo0q6ZcEkji2Z1wlAxKnDq.jpg"
"8537","Superman Collection","This collection includes the original superhero film series of the DC Comics character Superman starring Christopher Reeve and the fifth and final installment, Superman Returns, from 2006. The series is centered on Clark Kent, a Kryptonian from the planet Krypton whose birth name is Kal-El. Superman resides in the city of Metropolis, where he works as a journalist for the Daily Planet, a newspaper.","/la0EhOrgVAiY8sf3ILz3wgoaNXH.jpg","/k1d3n4TJAGTF90x93QhL9jKUaXv.jpg"
"8580","The Karate Kid Collection","The first three films in the series follow Daniel LaRusso, who learns to harness karate for good through the eccentric mentorship of a janitor named Mr. Miyagi. In the fourth and final film of the original series, Mr. Miyagi becomes the caretaker of his friend's granddaughter in attempt to steer her away from trouble.","/sq4c328WCIFIVD7B9ZGFRwDbUTH.jpg","/h3zLPMwBKYJWDb4r7GP7lVfuRUx.jpg"
"8650","Transformers Collection","The Transformers series follows the continuing battle between the Autobots and the Decepticons and ultimately, the triumph of good over evil. This collection includes theatrically released films of the Transformers saga only.","/zvZBNNDWd5LcsIBpDhJyCB2MDT7.jpg","/634HpDF95NXzfExXfmeDNPEwT3r.jpg"
"8864","Final Destination Collection","Final Destination is a series of horror films centered on the themes of fatalism, predestination, and precognition, in relation to death.","/y3aWOInifbGKXM34KjtcMITrZRZ.jpg","/ImnmSDVPK8Ds5LhVFdox6idAbN.jpg"
"9485","The Fast and the Furious Collection","An action film series centered on illegal street racing and heists.","/z5A5W3WYJc3UVEWljSGwdjDgQ0j.jpg","/zQdytnqfsWKJlqazqfMBL2L7aql.jpg"
"9744","Fantastic Four Collection","Superhero films based on the Marvel Comics team of the same name. Four individuals gained superpowers after exposure to cosmic rays during a scientific mission to outer space: Mr. Fantastic (Reed Richards), the Invisible Woman (Susan ""Sue"" Storm), the Human Torch (Johnny Storm), and the monstrous Thing (Ben Grimm).","/jd89P82JIoi1pT65f7F0Za2ArAr.jpg","/prObnUSCHIBC8ZjkGo2KHgjkWOo.jpg"
"9888","Home Alone Collection","This series of movies sees a child accidentally left behind by their family during Christmas to fend for themselves against burglars.","/tpmfRWL1ecFxFOOeqvp6hDf41ac.jpg","/zYPsleQJo1n1rBPlecJBRb3iwSO.jpg"
"10194","Toy Story Collection","Toy Story is a CGI animated media franchise created by Pixar and distributed by Walt Disney Pictures. The franchise is based on the anthropomorphic concept that all toys, unknown to humans, are secretly alive, and the films focus on a diverse group of toys that feature a classic cowboy named Sheriff Woody and a modern spaceman named Buzz Lightyear. The group unexpectedly embark on adventures that challenge and change them.  The collection currently includes Toy Story 1-4.","/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg","/rki5qLuwb0xnnE9seehxO9TlLhW.jpg"
"10522","Starship Troopers Collection","Starship Troopers is an American military science fiction media franchise based on the 1959 novel of the same name by Robert A. Heinlein and the satirical 1997 film adaptation by screenwriter Edward Neumeier and director Paul Verhoeven.","/iKbdiRzFaQaKMtYoeQIuwGoDvSv.jpg","/uumu3Xj1ME1632SCsyVJwITgOKZ.jpg"
"12087","Herbie Collection","Herbie is an anthropomorphic 1963 Volkswagen Beetle, a character that is featured in several Disney motion pictures starting with the 1968 feature film The Love Bug. He has a mind of his own and is capable of driving himself, and is a serious contender in auto racing competitions. Throughout most of the franchise, Herbie is distinguished by red, white and blue racing stripes from front to back bumper, a racing-style number ""53"" on the front trunk lid, doors, and engine lid, and a yellow-on-black '63 California license plate that says, ""OFP 857"". One exception to this is his introduction in The Love Bug, where he initially appears as a nondescript white vehicle with a gray colored fabric sunroof (a.k.a. ""ragtop""), the style of sunroof offered on VW Beetles made through 1963.","/hgi9EeU50KFhv9pCDmJyx4VLp5G.jpg","/yfhSkmOHOdL0QfajTo1ZuOTDuHH.jpg"
"12203","Drunken Master Collection","The Exploits of Beggar So [aka Sam Seed/Su Hua Chi] (Yuen Siu-Tien) and his pupil Wong Fei-Hung (Jackie Chan)","/3JWhJ6h9iR3ugJWxo7lcJl5L5ii.jpg","/s1BJpNbmc7jqFajUtHHqEMsa8l9.jpg"
"14740","Madagascar Collection","Madagascar is an animated film series produced by DreamWorks Animation. Voices of Ben Stiller, Jada Pinkett Smith, Chris Rock and David Schwimmer are featured in the films. The plot follows the adventures of story of four Central Park Zoo animals who have spent their lives in blissful captivity and are unexpectedly shipped back to Africa.","/lzTIAbvMeGWB7PUrmBZXulGA28M.jpg","/UXIxsUbwMpv4v8xXRdT7LX58z9.jpg"
"14890","Bad Boys Collection","A franchise of films about the cop duo Mike Lowrey and Marcus Burnett, blowing stuff up and crazy car chases. They get the job done but at an expensive cost.","/k9hhSHg5GS4UgWQC6MHBOZrarji.jpg","/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg"
"17235","Hellboy Collection","The character Hellboy is a demon who fights for the U.S. government and himself against dark forces including Nazis and Baba Yaga, in a series of tales that have their roots in folklore, pulp magazines, vintage adventure, and horror fiction. This collection includes the theatrical release films.","/i6WF7cYiogl8g5ryZDbZBw8RNVN.jpg","/7zzD8uQ5fyC4slZF1ATMS6gtyHS.jpg"
"17255","Resident Evil Collection","Loosely based upon the Capcom video games of the same name, the Resident Evil film series follows the protagonist Alice, a character created for the films. The Umbrella Corporation acts as the main antagonist, a bio-engineering pharmaceutical company responsible for formulating the T-virus, which results in a zombie infection outbreak.","/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg","/ed8cYt6V7DVoVuHhBV5dD2YRFvb.jpg"
"30663","Harold & Kumar Collection","An American stoner comedy film series starring John Cho (Harold) and Kal Penn (Kumar).","/b70mFgsSn2hl3CvC0nRx0SHUEX0.jpg","/zFhXMBKIWyThKeE3mQQTaZ07rBy.jpg"
"31562","The Bourne Collection","The Bourne films are a series of action thriller movies based on the character Jason Bourne, a CIA assassin suffering from extreme memory loss who must figure out who he is. The character is based on novels by Robert Ludlum. The fourth film in the series introduces Aaron Cross, a Department of Defense operative who runs for his life because of Bourne's actions.","/vA5xMglyZv7yzDTj1qUTU4OvelV.jpg","/q0ma8ozYaaol1IvdGjBvj3KllyL.jpg"
"33059","Wild Things Collection","","/wCh4W9gWT9DT7mRgWDofwcM2pwD.jpg","/4OI3VZMXFMcTmpyzg9RlN4vsIro.jpg"
"33514","The Twilight Collection","The Twilight movies are a romantic fantasy vampire series based on the series of novels by Stephenie Meyer.","/yDq6O2JCbM6sCVn66FzOx1Eqqzx.jpg","/aKAX2HO5V94JYeSIkOMFNlRI71E.jpg"
"39199","Detective Conan Collection","Feature films based on the Japanese Case Closed series.","/mwz7lYimh8da0zZHOI41xNd86yH.jpg","/bV6EHK0Q65hHKSoVDeACbc960jQ.jpg"
"39326","Initial D","No overview.","/8qKt839RL6UTqBxjqr2pzHmPvXs.jpg","/kP0CWfHKtwsWfNcrZYdwZOWbJNu.jpg"
"43064","Speed Collection","Speed is a 1994 American action-thriller film directed by Jan de Bont. LAPD officer Jack Traven becomes the focus of a bomber and extortionist, retired Atlanta bomb squad sergeant Howard Payne. The film takes place in Los Angeles in 1993. In 1997, a sequel, Speed 2: Cruise Control, was released. Sandra Bullock agreed to star again as Annie, for financial backing for another project, but Keanu Reeves declined the offer to return as Jack. As a result, Jason Patric was written into the story as Alex Shaw, Annie's new boyfriend, with her and Jack having broken up due to her worry about Jack's dangerous lifestyle. Willem Dafoe starred as the villain John Geiger, and Glenn Plummer (who played Reeves' carjacking victim) also cameos as a boat driver. The film is considered one of the worst sequels of all time.","/5YDT5pRGMvuOqOk7SWBq8HBrbGm.jpg","/9poztwq7SXjEETRdWXcJsl58kxV.jpg"
"43072","The Mask Collection","The Mask is an American fantasy-comedy film series based on a series of comic books published by Dark Horse Comics about the mask of Loki. The original film stars Jim Carrey as Stanley Ipkiss.","/ucDNm5TJW1ji7kIjnX2SZYm7ATM.jpg","/pl2vNt9XlxITTgm8wCQ2Y6ThkpT.jpg"
"43220","National Lampoon's Van Wilder Collection","Van Wilder (Ryan Reynolds) is an outgoing, friendly, and extremely popular student who has been at Coolidge College for seven years. For the past six years, he has made no effort to graduate, instead spending his time organizing parties and fundraisers, doing charity work, helping other students, and posing for figure drawing classes. But after seven years, with no return on his investment, Van's father (Tim Matheson) decides it is time to cut his losses and stops paying Van's tuition.","/fvkR1SE5i1qUVHM5vewIf9jozcu.jpg","/9O9Dtdetrc7shP2CUr5jQqbIexC.jpg"
"44722","Munna Bhai Collection","Murli Prasad Sharma (Munna Bhai) is portrayed by Sanjay Dutt. He is a ""Bhai"" - a leader in the Mumbai underworld. His nickname, Munna Bhai has a double meaning. It could refer to the form of ""Bhai"" as an honorific, as the word traditionally translates as ""brother""; however, within the context of Mumbai slang, ""Bhai"" has also come to refer to a hoodlum. His sidekick, or consigliere is Circuit (portrayed by Arshad Warsi). They both speak in Bambaiya Hindi, a dialect specific to Mumbai, India.",,"/ICAaBHd2w2Gm82E6IW61uVVTnJ.jpg"
"44724","Don Collection","The drug trade is booming. The Malaysian Intelligence and Anti-Narcotic Department are called upon for assistance by their Indian counterparts. There are rumours that a drug gang has recently moved their headquarters to Kuala Lumpur.","/iM6ius5ODrQaTNXh4nNkIVHqTDS.jpg","/5PzZWmcZwUwGGAs9LdUpMXRUJNh.jpg"
"44976","Dhoom Collection","The movies are centered around Jai Dixit & Ali Akbar Fateh Khan, Two Cops who find themselves fighting a group of criminal masterminds.","/sryVaKG3Bj6bQAze2jYNltUrZZi.jpg","/qc1R0oO2tb7TFPiql7Aq6QoDwJp.jpg"
"52785","xXx Collection","XXX (pronounced as Triple X and stylized as xXx) is an American action film series. The first follows Xander Cage, a thrill seeking extreme sports enthusiast, stuntman and rebellious athlete-turned-reluctant spy for the National Security Agency. The second introduces Darius Stone, a new agent in the Triple X program. The third sees the return of Xander Cage who comes out of self-imposed exile, thought to be long dead.","/jSfCi0onZRDxbeg2dPJgB5iAoxX.jpg","/s13xGJSH3eEWPjSjDvI1iCqkwVg.jpg"
"52985","Wrong Turn Collection","A group of people fights for their survival against a family of hideously deformed inbred cannibals who plan to ruthlessly butcher them all.","/32IsLLCoj3mIkZbLfCKSXZVqd3k.jpg","/dtfQY5ZxvdHNG4HqNDy0ifwk1q6.jpg"
"59567","Shanghai Noon Collection","Shanghai Noon is a 2000 Chinese-American action comedy western film starring Jackie Chan, Owen Wilson and Lucy Liu. The film, marking the directorial debut of Tom Dey, was written by Alfred Gough and Miles Millar. A sequel, Shanghai Knights, was released in 2003, with David Dobkin as director.","/xkA3OKXATV7c0hIXoETdHXUIpE8.jpg","/ni5KHVDmSGjdqdcf0sew2c2xZ37.jpg"
"63043","TRON Collection","Tron is an American science fiction media franchise. It began in 1982 with the Walt Disney Pictures film Tron. It was followed by various film tie-ins, a comic book miniseries and the 2010 sequel film Tron: Legacy","/o8NBfffQPE9tHTR9l7FuWbdVPHu.jpg","/cvFlDIfOwhYe4ouAAfdyq9E5zlZ.jpg"
"70068","Ip Man Collection","The life of Ip Man","/vhOkY4CXyt3Yc1U7SuiwI6zKWPh.jpg","/pNcvlvn3IKcpOCGbDY4ReMobSgj.jpg"
"72119","Honey, I Shrunk the Kids Collection","Honey, I Shrunk the Kids is an American Disney comedy franchise that focuses on Wayne Szalinski, a ""nutty"" inventor who develops electronic machines that cause havoc.","/sfT3NqSnjEDY1449qBgQRWOIcaq.jpg","/lFzYdAFLJ1mk2ax4yYYqeH7A3FW.jpg"
"77816","Kung Fu Panda Collection","The Kung Fu Panda series are computer-animated action comedy films set in a version of old China populated by humanoid talking animals, the plot revolves around a bumbling humanoid panda named Po who aspires to be a kung fu master.","/uDosHOFFWtF5YteBRygHALFqLw2.jpg","/2QT6PuYXY0T2Ry9rX0JKQYTrbwx.jpg"
"85943","Night at the Museum Collection","A series of movies starring Ben Stiller as a night guard of the Museum of Natural History in New York City.","/z0nqqHwEY3niKa41kKbR4zhnvHw.jpg","/q2nwE0Qi8U6tsU5HDmiWS2D3dSJ.jpg"
"86027","Aladdin Collection","The Aladdin Collection transports viewers into a magical world full of adventure, mystical genies, and flying carpets. It begins with Disney's original animated classic, ""Aladdin"" (1992), where a young street urchin named Aladdin discovers a magic lamp that could change his destiny. The collection continues with two direct-to-video sequels, ""The Return of Jafar"" (1994) and ""Aladdin and the King of Thieves"" (1996). Each entry adds more depth to the rich, vibrant world of Agrabah, while focusing on themes of friendship, bravery, and the power of being oneself.","/naeLgo2bt4WKfHF4BTrG6mkmjiY.jpg","/enl57YvMhTAdic6El5rfZppyzq2.jpg"
"86029","Charlie's Angels Collection","An American media franchise that follows the adventures of the Angels, a team of women working for the Townsend Agency, a private detective agency, under the leadership of Charlie Townsend, their unseen boss. The film series is a continuation of the story with later generations of Angels.","/jfKqvbZqU3LcNcwj4N8Q1ZJ7fSv.jpg","/jBKUntSuSUfxTXI8XWABpdWmWEt.jpg"
"86055","Men In Black Collection","A series of American science fiction action comedy films based on Malibu / Marvel comic book series The Men in Black by Lowell Cunningham. Stylized MIB and spawned 2 numbered sequels as well as a spin-off.","/xKz6YaOvmnIJQ3MYIpnaa7FBaAB.jpg","/neo50PMS8QZhl4VdzXAF1Cz3sPz.jpg"
